"Plot Title: NG08"
"#","Date Time, GMT-08:00","Temp, °F","Coupler Detached","Bad Battery","Good Battery","Coupler Attached","Host Connected","Stopped","End Of File"
1,11/05/10 09:00:00 PM,73.386,Logged,,,,,,
2,11/05/10 09:30:01 PM,73.256,,,,,,,
3,11/05/10 10:00:02 PM,72.955,,,,,,,
4,11/05/10 10:30:03 PM,72.739,,,,,,,
5,11/05/10 11:00:04 PM,72.437,,,,,,,
6,11/05/10 11:30:05 PM,72.007,,,,,,,
7,11/06/10 12:00:06 AM,71.791,,,,,,,
8,11/06/10 12:30:07 AM,71.404,,,,,,,
9,11/06/10 01:00:08 AM,70.930,,,,,,,
10,11/06/10 01:30:09 AM,70.459,,,,,,,
11,11/06/10 02:00:10 AM,69.771,,,,,,,
12,11/06/10 02:30:11 AM,69.085,,,,,,,
13,11/06/10 03:00:12 AM,68.443,,,,,,,
14,11/06/10 03:30:13 AM,67.714,,,,,,,
15,11/06/10 04:00:14 AM,67.028,,,,,,,
16,11/06/10 04:30:15 AM,66.472,,,,,,,
17,11/06/10 05:00:16 AM,65.788,,,,,,,
18,11/06/10 05:30:17 AM,65.102,,,,,,,
19,11/06/10 06:00:18 AM,64.589,,,,,,,
20,11/06/10 06:30:19 AM,63.990,,,,,,,
21,11/06/10 07:00:20 AM,63.390,,,,,,,
22,11/06/10 07:30:21 AM,62.875,,,,,,,
23,11/06/10 08:00:22 AM,62.276,,,,,,,
24,11/06/10 08:30:23 AM,61.633,,,,,,,
25,11/06/10 09:00:24 AM,62.105,,,,,,,
26,11/06/10 09:30:25 AM,55.472,,,,,,,
27,11/06/10 10:00:26 AM,52.291,,,,,,,
28,11/06/10 10:30:27 AM,52.554,,,,,,,
29,11/06/10 11:00:28 AM,54.430,,,,,,,
30,11/06/10 11:30:29 AM,54.037,,,,,,,
31,11/06/10 12:00:30 PM,52.378,,,,,,,
32,11/06/10 12:30:31 PM,50.311,,,,,,,
33,11/06/10 01:00:32 PM,48.360,,,,,,,
34,11/06/10 01:30:33 PM,46.616,,,,,,,
35,11/06/10 02:00:34 PM,45.082,,,,,,,
36,11/06/10 02:30:35 PM,47.691,,,,,,,
37,11/06/10 03:00:36 PM,44.445,,,,,,,
38,11/06/10 03:30:37 PM,42.386,,,,,,,
39,11/06/10 04:00:38 PM,49.028,,,,,,,
40,11/06/10 04:30:39 PM,48.583,,,,,,,
41,11/06/10 05:00:40 PM,45.896,,,,,,,
42,11/06/10 05:30:41 PM,43.808,,,,,,,
43,11/06/10 06:00:42 PM,42.341,,,,,,,
44,11/06/10 06:30:43 PM,40.998,,,,,,,
45,11/06/10 07:00:44 PM,39.830,,,,,,,
46,11/06/10 07:30:45 PM,38.889,,,,,,,
47,11/06/10 08:00:46 PM,38.084,,,,,,,
48,11/06/10 08:30:47 PM,37.465,,,,,,,
49,11/06/10 09:00:48 PM,36.891,,,,,,,
50,11/06/10 09:30:49 PM,37.321,,,,,,,
51,11/06/10 10:00:50 PM,40.017,,,,,,,
52,11/06/10 10:30:51 PM,39.643,,,,,,,
53,11/06/10 11:00:52 PM,38.889,,,,,,,
54,11/06/10 11:30:53 PM,38.131,,,,,,,
55,11/07/10 12:00:54 AM,37.465,,,,,,,
56,11/07/10 12:30:55 AM,36.842,,,,,,,
57,11/07/10 01:00:56 AM,36.313,,,,,,,
58,11/07/10 01:30:57 AM,35.782,,,,,,,
59,11/07/10 02:00:58 AM,35.346,,,,,,,
60,11/07/10 02:30:59 AM,34.957,,,,,,,
61,11/07/10 03:01:00 AM,34.615,,,,,,,
62,11/07/10 03:31:01 AM,34.272,,,,,,,
63,11/07/10 04:01:02 AM,34.027,,,,,,,
64,11/07/10 04:31:03 AM,33.780,,,,,,,
65,11/07/10 05:01:04 AM,33.584,,,,,,,
66,11/07/10 05:31:05 AM,33.386,,,,,,,
67,11/07/10 06:01:06 AM,33.237,,,,,,,
68,11/07/10 06:31:07 AM,33.138,,,,,,,
69,11/07/10 07:01:08 AM,32.990,,,,,,,
70,11/07/10 07:31:09 AM,32.891,,,,,,,
71,11/07/10 08:01:10 AM,32.742,,,,,,,
72,11/07/10 08:31:11 AM,32.641,,,,,,,
73,11/07/10 09:01:12 AM,32.491,,,,,,,
74,11/07/10 09:31:13 AM,32.342,,,,,,,
75,11/07/10 10:01:14 AM,32.342,,,,,,,
76,11/07/10 10:31:15 AM,34.565,,,,,,,
77,11/07/10 11:01:16 AM,34.615,,,,,,,
78,11/07/10 11:31:17 AM,34.516,,,,,,,
79,11/07/10 12:01:18 PM,34.468,,,,,,,
